구분,시장가격,시장가격,기준가격,기준가격,기준가격,기초지수,기초지수
구분,종가(원),전일대비(%),종가(원),전일대비(%),과세기준가(원),종가,전일대비(%)
2025.10.01,12875,하락-1.42,12821.93,하락-1.83,12821.93,4483.85,하락-1.82
2025.09.30,13060,상승4.86,13061.08,상승5.09,13061.08,4566.83,상승5.10
2025.09.29,12455,상승3.23,12428.84,상승3.10,12428.84,4345.12,상승3.11
2025.09.26,12065,상승1.26,12055.62,상승1.28,12055.62,4214.13,상승1.30
2025.09.25,11915,하락-0.21,11902.88,하락-0.26,11902.88,4160.23,하락-0.26
2025.09.24,11940,상승1.36,11934.27,상승1.51,11934.27,4171.02,상승1.52
2025.09.23,11780,상승2.57,11756.86,상승2.20,11756.86,4108.68,상승2.22
2025.09.22,11485,상승1.68,11503.78,상승1.95,11503.78,4019.63,상승1.96
2025.09.19,11295,하락-0.53,11283.49,하락-0.49,11283.49,3942.31,하락-0.49
2025.09.18,11355,하락-1.13,11339.18,하락-1.40,11339.18,3961.54,하락-1.39
2025.09.17,11485,상승1.06,11500.13,상승1.42,11500.13,4017.33,상승1.42
2025.09.16,11365,상승1.88,11339.43,상승1.42,11339.43,3961.09,상승1.44
2025.09.15,11155,상승0.41,11180.49,상승0.90,11180.49,3904.84,상승0.91
2025.09.12,11110,하락-0.36,11080.55,하락-0.36,11080.55,3869.71,하락-0.35
2025.09.11,11150,상승0.27,11120.46,상승0.33,11120.46,3883.31,상승0.34
2025.09.10,11120,하락-0.40,11083.95,하락-1.59,11083.95,3869.96,하락-1.57
2025.09.09,11165,상승2.81,11262.93,상승3.71,11262.93,3931.61,상승3.74
2025.09.08,10860,상승1.12,10860.51,상승1.41,10860.51,3789.82,상승1.42
2025.09.05,10740,상승0.66,10709.03,상승0.35,10709.03,3736.87,상승0.35
2025.09.04,10670,하락-0.28,10671.71,상승0.02,10671.71,3723.75,상승0.02
2025.09.03,10700,상승1.47,10669.77,상승1.04,10669.77,3723.06,상승1.06
2025.09.02,10545,상승0.00,10560.23,상승0.21,10560.23,3684.16,상승0.22
2025.09.01,10545,상승2.53,10538.15,상승2.60,10538.15,3676.19,상승2.60
2025.08.29,10285,상승0.73,10271.32,상승0.62,10271.32,3582.93,상승0.62
2025.08.28,10210,하락-0.20,10208.5,하락-0.11,10208.5,3560.91,하락-0.11
2025.08.27,10230,상승0.24,10219.98,상승0.27,10219.98,3564.9,상승0.27
2025.08.26,10205,상승0.89,10192.56,상승0.84,10192.56,3555.3,상승0.85
2025.08.25,10115,상승0.60,10108.06,상승0.67,10108.06,3525.3,상승0.68
2025.08.22,10055,하락-0.49,10040.38,하락-0.59,10040.38,3501.65,하락-0.58
2025.08.21,10105,상승0.25,10100.24,상승0.26,10100.24,3522.05,상승0.26
2025.08.20,10080,상승0.15,10074.15,상승0.13,10074.15,3512.92,상승0.13
2025.08.19,10065,하락-0.05,10061.48,상승0.01,10061.48,3508.47,상승0.01
2025.08.18,10070,상승0.00,10060.88,하락-0.12,10060.88,3508.24,하락-0.09
2025.08.14,10070,상승0.25,10072.49,상승0.37,10072.49,3511.32,상승0.37
2025.08.13,10045,하락-0.15,10035.83,하락-0.20,10035.83,3498.44,하락-0.20
2025.08.12,10060,하락-0.89,10056.04,하락-0.83,10056.04,3505.48,하락-0.84
2025.08.11,10150,하락-1.65,10140.71,하락-1.55,10140.71,3535.02,하락-1.55
2025.08.08,10320,상승1.72,10300.57,상승1.52,10300.57,3590.83,상승1.56
2025.08.07,10145,하락-0.10,10145.98,하락-0.06,10145.98,3535.75,하락-0.06
2025.08.06,10155,상승0.05,10152.08,상승0.24,10152.08,3537.87,상승0.24
2025.08.05,10150,상승0.84,10127.99,상승0.64,10127.99,3529.44,상승0.64
2025.08.04,10065,상승0.65,10063.62,상승0.72,10063.62,3506.95,상승0.72
2025.08.01,10000,상승0.70,9991.88,상승0.63,9991.88,3481.89,상승0.66
2025.07.31,9930,하락-0.35,9929.68,하락-0.24,9929.68,3458.92,하락-0.24
2025.07.30,9965,하락-0.35,9953.25,하락-0.40,9953.25,3467.13,하락-0.39
2025.07.29,10000,상승0.15,9993.19,상승0.08,9993.19,3480.74,상승0.08
2025.07.28,9985,하락-0.35,9985.19,하락-0.22,9985.19,3477.93,하락-0.22
2025.07.25,10020,상승0.05,10006.74,상승0.12,10006.74,3485.46,상승0.12
2025.07.24,10015,하락-2.10,9994.86,하락-2.17,9994.86,3481.24,하락-2.17
2025.07.23,10230,상승0.69,10216.42,상승0.60,10216.42,3558.61,상승0.60
2025.07.22,10160,상승0.30,10155.39,상승0.33,10155.39,3537.28,상승0.33
2025.07.21,10130,상승0.60,10121.91,상승0.60,10121.91,3525.57,상승0.60
2025.07.18,10070,상승0.15,10061.57,상승0.05,10061.57,3504.5,상승0.10
2025.07.17,10055,상승0.15,10056.5,상승0.19,10056.5,3500.99,상승0.19
2025.07.16,10040,하락-0.15,10037.74,하락-0.13,10037.74,3494.43,하락-0.13
2025.07.15,10055,하락-0.05,10051.24,하락-0.09,10051.24,3499.13,하락-0.09
2025.07.14,10060,상승0.75,10060.69,상승0.81,10060.69,3502.42,상승0.82
2025.07.11,9985,상승0.71,9979.37,상승0.66,9979.37,3474.08,상승0.71
2025.07.10,9915,상승0.86,9914.26,상승0.90,9914.26,3449.47,상승0.90
2025.07.09,9830,하락-0.81,9825.53,하락-0.92,9825.53,3418.54,하락-0.92
2025.07.08,9910,상승0.56,9916.39,상승0.68,9916.39,3450.19,상승0.68
2025.07.07,9855,하락-0.61,9849.82,하락-0.52,9849.82,3426.99,하락-0.52
2025.07.04,9915,하락-0.25,9901.7,하락-0.46,9901.7,3445.06,하락-0.39
2025.07.03,9940,상승0.76,9946.97,상승0.90,9946.97,3458.67,상승0.90
2025.07.02,9865,상승0.46,9858.34,상승0.40,9858.34,3427.73,상승0.40
2025.07.01,9820,상승1.76,9819.43,상승1.63,9819.43,3414.14,상승1.64
2025.06.30,9650,하락-0.87,9661.58,하락-0.77,9661.58,3359.06,하락-0.77
